,UniprotID,GO.annotation.,X.1,Notes,Hcategory,Mcategory,Lcategory,category,Chebicategory,decision,importantCategory
11,P34358,"GO:0022857; F:transmembrane transporter activity; ISS:WormBase, GO:0042626; F:ATPase activity, coupled to transmembrane movement of substances; IBA:GO_Central, GO:0005524; F:ATP binding; IEA:UniProtKB-KW.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
12,P13794,"GO:0001851; F:complement component C3b binding; IPI:PseudoCAP, GO:0015288; F:porin activity; TAS:PseudoCAP, GO:0005509; F:calcium ion binding; IEA:InterPro.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
13,Q1I8U1,"GO:0090729; F:toxin activity; IDA:UniProtKB, GO:0015288; F:porin activity; IEA:UniProtKB-KW.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
14,Q9VAS7,GO:0005243; F:gap junction channel activity; IDA:FlyBase.,1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
15,Q9XYN0,GO:0005243; F:gap junction channel activity; TAS:UniProtKB.,1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
16,Q9V427,GO:0005243; F:gap junction channel activity; IDA:FlyBase.,1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
17,Q03412,"GO:0005243; F:gap junction channel activity; IDA:WormBase, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
18,O61715,"GO:0005243; F:gap junction channel activity; IDA:UniProtKB,GO:0055077; F:gap junction hemi-channel activity; IDA:UniProtKB, GO:0019855; F:calcium channel inhibitor activity; IGI:WormBase, GO:0004860; F:protein kinase inhibitor activity; IGI:WormBase.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
19,Q9U3N4,"GO:0005243; F:gap junction channel activity; ISS:UniProtKB, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
20,O01634,"GO:0005243; F:gap junction channel activity; ISS:UniProtKB, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
21,Q19746,"GO:0005243; F:gap junction channel activity; ISS:UniProtKB, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
22,Q9VRX6,"GO:0005243; F:gap junction channel activity; NAS:FlyBase, GO:0055077; F:gap junction hemi-channel activity; NAS:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
23,Q96RD6,"GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB, GO:0022829; F:wide pore channel activity; IBA:GO_Central.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
24,Q9VWL5,GO:0005243; F:gap junction channel activity; ISS:FlyBase.,1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
25,P33085,"GO:0005243; F:gap junction channel activity; IMP:UniProtKB, GO:0009881; F:photoreceptor activity; IMP:UniProtKB.",1.A. Nonselective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
26,Q9S3R8,"GO:0030247; F:polysaccharide binding; TAS:UniProtKB, GO:0015288; F:porin activity; TAS:UniProtKB.",1.A non selective,L2. CONFIDANCE,NA,NA,NA,NA,NA,NA,
27,Q9FKM2,"GO:0008308; F:voltage-gated anion channel activity; IMP:TAIR, GO:0015288; F:porin activity; IEA:UniProtKB-KW.",1.A. Nonselective,M1. CONFIDANCE,1.D inorganic anion,,,1.D inorganic anion*IMP:TAIR,1.D inorganic anion,1.D inorganic anion,
28,Q9SRH5,"GO:0008308; F:voltage-gated anion channel activity; IMP:TAIR, GO:0015288; F:porin activity; IEA:UniProtKB-KW.",1.A. Nonselective,M1. CONFIDANCE,1.D inorganic anion,,,1.D inorganic anion*IMP:TAIR,1.D inorganic anion,1.D inorganic anion,
29,Q9LH74,GO:0008381; F:mechanosensitive ion channel activity; IBA:GO_Central.,1.A. Nonselective,M1. CONFIDANCE,,1.A Nonselective,,1.A Nonselective*IBA:GO_Central.,1.A Nonselective,1.A Nonselective,
30,P68806,"GO:0042802; F:identical protein binding; IPI:IntAct, GO:0008381; F:mechanosensitive ion channel activity; IEA:InterPro.",1.A. Nonselective,M1. CONFIDANCE,,,1.A Nonselective,1.A Nonselective*IEA:InterPro.,1.A Nonselective,1.A Nonselective,
31,Q00977,"GO:0005243; F:gap junction channel activity; IDA:MGI, GO:0042802; F:identical protein binding; ISO:MGI.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
32,Q6PEY0,GO:0005243; F:gap junction channel activity; IDA:UniProtKB.,1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
33,Q921C1,"GO:0042803; F:protein homodimerization activity; IDA:MGI, GO:0005243; F:gap junction channel activity; ISA:MGI.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
34,P0A910,"GO:0015288; F:porin activity; IDA:EcoCyc, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0005198; F:structural molecule activity; IEA:InterPro.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
35,Q9WUS4,GO:0005243; F:gap junction channel activity; IDA:MGI.,1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
36,P08033,"GO:0005243; F:gap junction channel activity; IDA:RGD, GO:0042803; F:protein homodimerization activity; IEA:Ensembl.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
37,Q8BQU6,"GO:0005243; F:gap junction channel activity; IDA:MGI, GO:1903763; F:gap junction channel activity involved in cell communication by electrical coupling; ISO:MGI.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
38,P28234,"GO:0005243; F:gap junction channel activity; IDA:RGD, GO:0071253; F:connexin binding; IPI:RGD, GO:0097718; F:disordered domain specific binding; IPI:CAFA, GO:0086076; F:gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling; IEA:Ensembl, GO:0086077; F:gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling; IEA:Ensembl, GO:0086078; F:gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling; IEA:Ensembl, GO:0055077; F:gap junction hemi-channel activity; IEA:Ensembl.",1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
39,P0AAT4,"GO:0042802; F:identical protein binding; IPI:IntAct, GO:0008381; F:mechanosensitive ion channel activity; IMP:EcoCyc.",1.A. Nonselective,M1. CONFIDANCE,1.A Nonselective,,,1.A Nonselective*IMP:EcoCyc.,1.A Nonselective,1.A Nonselective,
40,P76773,GO:0015288; F:porin activity; IDA:EcoCyc.,1.A. Nonselective,M1. CONFIDANCE,NA,NA,NA,NA,NA,NA,
41,P14222,"GO:0022829; F:wide pore channel activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0005509; F:calcium ion binding; ISS:UniProtKB.",1.A. Nonselective,VH. CONFIDANCE,NA,NA,NA,NA,NA,NA,
42,O61788,"GO:0005243; F:gap junction channel activity; ISS:UniProtKB, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,X,NA,NA,NA,NA,NA,NA,
43,Q9U3K5,"GO:0005243; F:gap junction channel activity; ISS:UniProtKB, GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB.",1.A. Nonselective,X,NA,NA,NA,NA,NA,NA,
44,Q96QZ0,"GO:0055077; F:gap junction hemi-channel activity; ISS:UniProtKB, GO:0022829; F:wide pore channel activity; IBA:GO_Central.",1.A. Nonselective,X,NA,NA,NA,NA,NA,NA,
45,Q8ZKQ2,GO:0015145; F:monosaccharide transmembrane transporter activity; IBA:GO_Central.,1.A. Nonselective,X,,3.A monosaccharide and derivative,,3.A monosaccharide and derivative*IBA:GO_Central.,3.A monosaccharide and derivative,3.A monosaccharide and derivative,
46,P02931,"GO:0042802; F:identical protein binding; IDA:CAFA, GO:0005216; F:ion channel activity; IDA:CAFA, GO:0097718; F:disordered domain specific binding; IPI:CAFA, GO:0047485; F:protein N-terminus binding; IPI:CAFA, GO:0042912; F:colicin transmembrane transporter activity; IMP:EcoCyc, GO:0015238; F:drug transmembrane transporter activity; IMP:EcoCyc, GO:0015288; F:porin activity; IMP:EcoliWiki, GO:0015075; F:ion transmembrane transporter activity; TAS:EcoCyc.","1.A. Nonselective, 6.A drugs",MC. L2,1.A Nonselective;OTHER,,,1.A Nonselective*IDA:CAFA;OTHER*IMP:EcoCyc,"1.A Nonselective,OTHER",OTHER,
47,Q9WTY0,"GO:0015112; F:nitrate transmembrane transporter activity; IMP:RGD, GO:0015250; F:water channel activity; IBA:GO_Central, GO:0005253; F:anion channel activity; TAS:Reactome.",1.B. Water,H. CONFIDANCE,1.D inorganic anion,1.B water,,1.D inorganic anion*IMP:RGD;1.B water*IBA:GO_Central,"1.D inorganic anion,1.B water",1.B water,
48,Q9ASI1,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
49,P55087,"GO:0015250; F:water channel activity; EXP:Reactome, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0005372; F:water transmembrane transporter activity; TAS:ProtInc.",1.B. Water,H. CONFIDENCE,1.B water,,,1.B water*EXP:Reactome,1.B water,1.B water,
50,P55064,"GO:0015250; F:water channel activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct.",1.B. Water,H. CONFIDENCE,1.B water,,,1.B water*IDA:UniProtKB,1.B water,1.B water,
51,Q54V53,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
52,O82316,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
53,Q5VR89,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
54,Q10M80,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
55,Q41963,GO:0015250; F:water channel activity; ISS:TAIR.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*ISS:TAIR.,1.B water,1.B water,
56,Q7EYH7,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
57,Q40746,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
58,Q0JPT5,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
59,Q5Z9E2,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
60,Q9C6T0,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
61,P26587,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,H. CONFIDENCE,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
62,P06624,"GO:0005516; F:calmodulin binding; IMP:UniProtKB, GO:0015250; F:water channel activity; IMP:UniProtKB, GO:0005212; F:structural constituent of eye lens; IEA:UniProtKB-KW.",1.B. Water,H. CONFIDENCE,1.B water,,,1.B water*IMP:UniProtKB,1.B water,1.B water,
63,P56405,GO:0015250; F:water channel activity; IDA:RGD.,1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:RGD.,1.B water,1.B water,
64,P60844,"GO:0042802; F:identical protein binding; IDA:EcoCyc,GO:0015250; F:water channel activity; IDA:EcoCyc.",1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:EcoCyc.,1.B water,1.B water,
65,O64964,GO:0015250; F:water channel activity; IDA:AgBase.,1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:AgBase.,1.B water,1.B water,
66,Q8BHH1,GO:0015250; F:water channel activity; IDA:MGI.,1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:MGI.,1.B water,1.B water,
67,Q9M8W5,GO:0015250; F:water channel activity; IDA:TAIR.,1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:TAIR.,1.B water,1.B water,
68,Q9V5Z7,GO:0015250; F:water channel activity; IDA:FlyBase.,1.B. Water,VH. CONFIDENCE,1.B water,,,1.B water*IDA:FlyBase.,1.B water,1.B water,
69,Q9U8P7,GO:0015250; F:water channel activity; IBA:GO_Central.,1.B. Water,X,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
70,Q8VZW1,"GO:0015105; F:arsenite transmembrane transporter activity; IDA:TAIR,GO:0015250; F:water channel activity; IDA:TAIR.","1.B. Water, 1.D Anion",VH. CONFIDENCE,1.D inorganic anion;1.B water,,,1.D inorganic anion*IDA:TAIR;1.B water*IDA:TAIR.,"1.D inorganic anion,1.B water",1.B water,
71,P0AER0,"GO:0015254; F:glycerol channel activity; IDA:EcoCyc, GO:0015168; F:glycerol transmembrane transporter activity; IDA:UniProtKB, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.","1.B. Water, 2.A. Sugars, polyols, and their derivatives,",H. CONFIDENCE,7.A polyol,,,7.A polyol*IDA:EcoCyc,7.A polyol,7.A polyol,
72,Q96PS8,"GO:0015254; F:glycerol channel activity; EXP:Reactome, GO:0015265; F:urea channel activity; EXP:Reactome, GO:0015250; F:water channel activity; EXP:Reactome.","1.B. Water, 2.A. Sugars, polyols, and their derivative_",M1. CONFIDANCE,7.A polyol;7.C amide;7.D Other organic;1.B water,,,7.A polyol*EXP:Reactome;7.C amide;7.D Other organic*EXP:Reactome;1.B water*EXP:Reactome.,"7.A polyol,7.C amide;7.D Other organic,1.B water","7.A polyol,7.C amide;7.D Other organic,1.B water",
73,Q8W037,"GO:0015129; F:lactate transmembrane transporter activity; IDA:TAIR, GO:0015250; F:water channel activity; IBA:GO_Central.","1.B. Water, 2.A. Sugars, polyols, and their derivative, 2.B. Monocarboxylates",MC.M3. CONFIDANCE,2.A organic anion,1.B water,,2.A organic anion*IDA:TAIR;1.B water*IBA:GO_Central.,"2.A organic anion,1.B water","2.A organic anion,1.B water",
74,Q54WT8,GO:0015250; F:water channel activity; IBA:GO_Central.,"1.B. Water, 2.A. Sugars, polyols, and their derivatives,4.A. (Nucleo)bases",X,,1.B water,,1.B water*IBA:GO_Central.,1.B water,1.B water,
75,P25818,"GO:0015250; F:water channel activity; IDA:TAIR, GO:0015204; F:urea transmembrane transporter activity; IGI:TAIR.","1.B. Water, 3.B. Amino acids and conjugates",MC. M3. CONFIDANCE,1.B water;7.C amide;7.D Other organic,,,1.B water*IDA:TAIR;7.C amide;7.D Other organic*IGI:TAIR.,"1.B water,7.C amide;7.D Other organic","1.B water,7.C amide;7.D Other organic",
76,Q41951,"GO:0015200; F:methylammonium transmembrane transporter activity; IDA:TAIR, GO:0015250; F:water channel activity; IDA:TAIR, GO:0042802; F:identical protein binding; IPI:IntAct.","1.B. Water, 3.B. Amines, amides, and polyamines ",MC.H. CONFIDENCE,unspecificed cation;1.B water,,,unspecificed cation*IDA:TAIR;1.B water*IDA:TAIR,"unspecificed cation,1.B water","unspecificed cation,1.B water",
77,P29972,"GO:0008519; F:ammonium transmembrane transporter activity; IDA:UniProtKB, GO:0035379; F:carbon dioxide transmembrane transporter activity; IDA:UniProtKB, GO:0015168; F:glycerol transmembrane transporter activity; IDA:UniProtKB, GO:0005223; F:intracellular cGMP activated cation channel activity; IDA:UniProtKB, GO:0030184; F:nitric oxide transmembrane transporter activity; IDA:UniProtKB, GO:0022857; F:transmembrane transporter activity; IDA:UniProtKB, GO:0015250; F:water channel activity; IDA:UniProtKB, GO:0005372; F:water transmembrane transporter activity; IDA:UniProtKB,GO:0042802; F:identical protein binding; IPI:IntAct,GO:0005267; F:potassium channel activity; IMP:UniProtKB,GO:0015079; F:potassium ion transmembrane transporter activity; ISS:UniProtKB.","1.B. Water, 1.C. Cation, 2.A. Sugars, polyols, and their derivative, 2.E Organic others",MC. H,unspecificed cation;7.D Other organic;7.A polyol;1.C inorganic cation;1.E Other inorganic;1.B water,,,unspecificed cation*IDA:UniProtKB;7.D Other organic*IDA:UniProtKB;7.A polyol*IDA:UniProtKB;1.C inorganic cation*IDA:UniProtKB;1.E Other inorganic*IDA:UniProtKB;1.B water*IDA:UniProtKB,"unspecificed cation,7.D Other organic,7.A polyol,1.C inorganic cation,1.E Other inorganic,1.B water","7.A polyol,1.E Other inorganic,1.B water",
78,Q9SZY7,"GO:0046961; F:proton-transporting ATPase activity, rotational mechanism; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central.,1.C inorganic cation,1.C inorganic cation,
79,Q9HBG4,"GO:0051117; F:ATPase binding; IPI:UniProtKB, GO:0046961; F:proton-transporting ATPase activity, rotational mechanism; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central.,1.C inorganic cation,1.C inorganic cation,
80,Q21898,"GO:0046961; F:proton-transporting ATPase activity, rotational mechanism; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central.,1.C inorganic cation,1.C inorganic cation,
81,P32842,"GO:0046961; F:proton-transporting ATPase activity, rotational mechanism; TAS:SGD.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*TAS:SGD.,1.C inorganic cation,1.C inorganic cation,
82,P68699,"GO:0046933; F:proton-transporting ATP synthase activity, rotational mechanism; IMP:EcoCyc, GO:0046961; F:proton-transporting ATPase activity, rotational mechanism; IMP:EcoCyc, GO:0008289; F:lipid binding; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,1.C inorganic cation,,,1.C inorganic cation*IMP:EcoCyc,1.C inorganic cation,1.C inorganic cation,
83,P0A307,"GO:0046933; F:proton-transporting ATP synthase activity, rotational mechanism; IBA:GO_Central, GO:0008289; F:lipid binding; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,NA,NA,NA,NA,NA,NA,
84,Q8RGD7,"GO:0042802; F:identical protein binding; IPI:IntAct, GO:0046933; F:proton-transporting ATP synthase activity, rotational mechanism; IBA:GO_Central, GO:0008289; F:lipid binding; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,NA,NA,NA,NA,NA,NA,
85,Q16515,"GO:0044736; F:acid-sensing ion channel activity; TAS:Reactome, GO:0015280; F:ligand-gated sodium channel activity; TAS:ProtInc.",1.C. Cation,H. CONFIDANCE,,1.A Nonselective;1.C inorganic cation,,1.A Nonselective*TAS:Reactome;1.C inorganic cation*TAS:ProtInc.,"1.A Nonselective,1.C inorganic cation",1.C inorganic cation,
86,Q9DAV9,GO:0015269; F:calcium-activated potassium channel activity; IBA:GO_Central.,1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central.,1.C inorganic cation,1.C inorganic cation,
87,Q8BLV3,"GO:0015386; F:potassium:proton antiporter activity; ISS:UniProtKB, GO:0015385; F:sodium:proton antiporter activity; ISS:UniProtKB.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*ISS:UniProtKB,1.C inorganic cation,1.C inorganic cation,
88,Q9I9C3,GO:0005391; F:sodium:potassium-exchanging ATPase activity; NAS:UniProtKB.,1.C. Cation,H. CONFIDANCE,NA,NA,NA,NA,NA,NA,
89,Q8IVB4,"GO:0015386; F:potassium:proton antiporter activity; IBA:GO_Central, GO:0015385; F:sodium:proton antiporter activity; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
90,P26434,"GO:0015386; F:potassium:proton antiporter activity; IBA:GO_Central, GO:0015385; F:sodium:proton antiporter activity; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
91,Q6UJY2,"GO:0015386; F:potassium:proton antiporter activity; IBA:GO_Central, GO:0015385; F:sodium:proton antiporter activity; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
92,E9PTA2,"GO:0005509; F:calcium ion binding; ISS:UniProtKB, GO:0015278; F:calcium-release channel activity; ISS:UniProtKB, GO:0005261; F:cation channel activity; ISS:UniProtKB, GO:0099604; F:ligand-gated calcium channel activity; ISS:UniProtKB, GO:0005384; F:manganese ion transmembrane transporter activity; IEA:Ensembl, GO:0005272; F:sodium channel activity; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*ISS:UniProtKB,1.C inorganic cation,1.C inorganic cation,
93,Q8TPA6,"GO:0005262; F:calcium channel activity; IBA:GO_Central, GO:0005509; F:calcium ion binding; IBA:GO_Central, GO:0008273; F:calcium, potassium:sodium antiporter activity; IBA:GO_Central, GO:0030955; F:potassium ion binding; IBA:GO_Central, GO:0031402; F:sodium ion binding; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
94,O32212,"GO:0015386; F:potassium:proton antiporter activity; IBA:GO_Central, GO:0015385; F:sodium:proton antiporter activity; IBA:GO_Central.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
95,Q9IAL7,"GO:0005262; F:calcium channel activity; IBA:GO_Central, GO:0005509; F:calcium ion binding; IBA:GO_Central, GO:0008273; F:calcium, potassium:sodium antiporter activity; IBA:GO_Central, GO:0030955; F:potassium ion binding; IBA:GO_Central, GO:0031402; F:sodium ion binding; IBA:GO_Central, GO:0015293; F:symporter activity; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
96,Q8CGQ8,"GO:0005262; F:calcium channel activity; IBA:GO_Central, GO:0005509; F:calcium ion binding; IBA:GO_Central, GO:0030955; F:potassium ion binding; IBA:GO_Central, GO:0031402; F:sodium ion binding; IBA:GO_Central, GO:0008273; F:calcium, potassium:sodium antiporter activity; ISA:MGI, GO:0005432; F:calcium:sodium antiporter activity; ISA:MGI, GO:0015293; F:symporter activity; IEA:UniProtKB-KW.",1.C. Cation,H. CONFIDANCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
97,P42839,"GO:0015369; F:calcium:proton antiporter activity; IMP:SGD, GO:0015386; F:potassium:proton antiporter activity; IMP:SGD, GO:0015385; F:sodium:proton antiporter activity; IMP:SGD.",1.C. Cation,H. CONFIDANCE,1.C inorganic cation,,,1.C inorganic cation*IMP:SGD,1.C inorganic cation,1.C inorganic cation,
